epoch,accuracy,loss,val_accuracy,val_loss
0,0.24220696,1.9142128063789605,0.19408435,2.7110130509664847
1,0.3734898,1.5950288629329568,0.3702757,1.649807410184727
2,0.42073226,1.4838600400122375,0.38889903,1.5326254991597907
3,0.44497603,1.424461809931168,0.36835858,1.673028779584308
4,0.4610578,1.3856628654540317,0.45444587,1.4010839448418728
5,0.4760214,1.3492637760445914,0.4909622,1.300311830154685
6,0.48700774,1.3190863553002061,0.48676282,1.3247398526169534
7,0.4966914,1.2956129909606149,0.49762642,1.3153205292169439
8,0.50681317,1.2738632405693655,0.39574584,1.5192123942596967
9,0.51533246,1.253148208517194,0.4979003,1.2994723916053772
10,0.5234253,1.2315025132575137,0.49479643,1.3140110415081645
11,0.52946603,1.2175467453088245,0.5054774,1.246276980915735
12,0.5331089,1.2074266663119217,0.5269308,1.2026951146680256
13,0.5377548,1.1949245459609263,0.5014607,1.286556460136591
14,0.54347277,1.186530885700369,0.50228226,1.2771325707435608
15,0.544591,1.1761296715319052,0.53551215,1.1814898155456366
16,0.5519575,1.162064514531318,0.51049846,1.2471322140028311
17,0.55259156,1.1601531171143455,0.5193537,1.2301542620326198
18,0.556465,1.1486048435995546,0.5398941,1.1985625804856765
19,0.5609956,1.1395265561764965,0.5540442,1.141888824313186
20,0.5642926,1.1317296896673026,0.5408983,1.182821810245514
21,0.56567603,1.1280581114158676,0.5676465,1.1262415051460266
22,0.56880015,1.118709790369115,0.5236443,1.229886154795802
23,0.57240844,1.1148836318938415,0.5525835,1.153904668813528
24,0.5734921,1.109514571353209,0.54637575,1.1825582828632621
25,0.5742991,1.1070294491668409,0.5836224,1.0880718224270398
26,0.5755557,1.1000095206983391,0.560891,1.1427416794521863
27,0.57740015,1.0945246070059949,0.57138944,1.0987707383410876
28,0.58024764,1.0909486573461258,0.5556874,1.1326410964477893
29,0.5813774,1.0907828872146437,0.5804272,1.0778830300929934
30,0.5837637,1.0802434991396168,0.49844804,1.3564436906992003
31,0.5871069,1.0797955020155885,0.5834398,1.095640283684398
32,0.5886286,1.0740574266069942,0.5518532,1.168639212846756
33,0.5864152,1.0717905112367423,0.56719005,1.1337108653645183
34,0.5903117,1.0661311452155469,0.56116486,1.1435523192549861
35,0.59212166,1.062433074939562,0.58809566,1.064497211644816
36,0.5911648,1.0615593400551673,0.5618952,1.128137733354125
37,0.5925943,1.0591514390365648,0.5899215,1.0638536360374717
38,0.5945887,1.0562190137467546,0.573124,1.096805712511373
39,0.59545326,1.0522956466098712,0.5899215,1.0600846589997757
40,0.59822005,1.0486545652676078,0.5773234,1.0870188460793606
41,0.59936136,1.0448428775115743,0.5761366,1.0743753244710523
42,0.602474,1.0409783555563554,0.57202846,1.101011111292728
43,0.6020474,1.0382246060542029,0.573124,1.0958756513373797
44,0.6020244,1.034911998257386,0.56326455,1.1519027213717616
45,0.6048026,1.0298245318930033,0.5896476,1.0508856468422467
46,0.6052407,1.0313537687456258,0.55230963,1.117808500694674
47,0.60696995,1.0273294383217617,0.55020994,1.1490558843279994
