category,precision,recall,f1-score,support,accuracy
Black,0.8118622448979592,0.8181233933161953,0.8149807938540334,1556.0,0.8181233933161953
East Asian,0.6919254658385093,0.7187096774193549,0.7050632911392405,1550.0,0.7187096774193549
Indian,0.6666666666666666,0.6635883905013192,0.6651239669421487,1516.0,0.6635883905013192
Latino_Hispanic,0.46686046511627904,0.49476278496611215,0.48040682022135806,1623.0,0.49476278496611215
Middle Eastern,0.5607287449392713,0.45822994210090984,0.5043240782885753,1209.0,0.45822994210090984
Southeast Asian,0.5888181174805379,0.5879858657243816,0.5884016973125884,1415.0,0.5879858657243816
White,0.6616961789375583,0.6810551558752997,0.6712361143937603,2085.0,0.6810551558752997
