category,precision,recall,f1-score,support,accuracy
0-2,0.7760416666666666,0.7487437185929648,0.762148337595908,199.0,0.7487437185929648
10-19,0.5216316440049443,0.3573243014394581,0.42412060301507537,1181.0,0.3573243014394581
20-29,0.6055569337633342,0.7396969696969697,0.665939162460783,3300.0,0.7396969696969697
3-9,0.7786589762076424,0.7964601769911505,0.7874589865111192,1356.0,0.7964601769911505
30-39,0.45668934240362813,0.43218884120171674,0.4441014332965822,2330.0,0.43218884120171674
40-49,0.446113074204947,0.37324464153732445,0.40643863179074446,1353.0,0.37324464153732445
50-59,0.4645858343337335,0.4861809045226131,0.47513812154696133,796.0,0.4861809045226131
60-69,0.43790849673202614,0.4174454828660436,0.4274322169059011,321.0,0.4174454828660436
more than 70,0.576271186440678,0.288135593220339,0.384180790960452,118.0,0.288135593220339
