epoch,accuracy,loss,val_accuracy,val_loss
0,0.21205398,2.1908625169400975,0.28574038,1.9064289012620614
1,0.28887352,1.7985086612528323,0.28720102,1.807859645333401
2,0.3317208,1.651162285432374,0.2962388,1.8054537967193958
3,0.35390827,1.5812863249076838,0.078784004,2.6459033406058023
4,0.3754774,1.5228517095315834,0.35220012,1.6852263863696608
5,0.38977194,1.4831579062719549,0.20403506,2.1416237589924836
6,0.39842868,1.4496805346103605,0.3291948,1.8385839961295904
7,0.4068672,1.427487969901473,0.34736168,1.9794066298839659
8,0.4158513,1.4015736309632951,0.34407523,1.578708571056987
9,0.42145273,1.3852578777625701,0.39784554,1.433893741563309
10,0.4284727,1.3642149249320943,0.36160308,1.9570092974707138
11,0.42898193,1.370870337742784,0.347453,1.8853711873986
12,0.43774778,1.3488177517617,0.40861785,1.5234250661938689
13,0.4432401,1.3314070156088602,0.40834397,1.434512624906939
14,0.44716838,1.3173612920211097,0.32298705,2.0648062312325766
15,0.44764122,1.3139017112291604,0.449151,1.3363737034243206
16,0.45444295,1.301312622669997,0.2903049,1.9568569881971491
17,0.45837122,1.291265679403906,0.44869453,1.343501857546873
