epoch,accuracy,loss,val_accuracy,val_loss
0,0.20976248,2.1708876609594117,0.29057878,1.8668537264646485
1,0.30909687,1.7506190597245714,0.30783275,1.7177418997121412
2,0.33688575,1.630759613778355,0.32955998,1.6901239891384923
3,0.3672935,1.5593676208448155,0.3392368,1.837754323038944
4,0.38020587,1.5113748375952267,0.34297973,1.6457578803217687
5,0.39366385,1.4658217600085435,0.39382875,1.489106025806693
6,0.4056669,1.4331058888290888,0.4002191,1.5076052754424338
7,0.4123595,1.4114394922833677,0.1377579,9.087336518043696
8,0.41901574,1.3909138568303674,0.4141866,1.417620175106581
9,0.42534465,1.3761708258463834,0.36205953,1.6787898318712102
10,0.43498346,1.3565213644191922,0.3163228,1.6717273412748825
11,0.43549266,1.3438727941361475,0.3770312,1.65251409453015
12,0.44233078,1.331828048359037,0.41546467,1.529212472050689
13,0.44320372,1.320612815230921,0.44476902,1.3217241084852884
14,0.45033282,1.3056262825209441,0.42450246,1.3732507908067038
15,0.45389736,1.2958969995956675,0.43043637,1.3774603813193564
16,0.45757103,1.288846521358832,0.27469417,1.91024383833242
17,0.45778924,1.2807186675679623,0.4481468,1.3487054982850717
18,0.460299,1.2819994422281418,0.41190434,1.5501510403877081
19,0.4704834,1.2622390988307284,0.4171992,1.3721641690232034
20,0.47051978,1.2563828023944794,0.37547928,1.8692931283351988
21,0.46720985,1.2587636287798685,0.4160124,1.442264945008034
22,0.47408432,1.2441755475809917,0.44778162,1.3588110444157622
23,0.48259556,1.237069262178442,0.42459375,1.3478181209675102
24,0.48863348,1.1999140077275006,0.47617307,1.2294381288594978
25,0.49783581,1.1870196896642082,0.48356766,1.2108096521954204
26,0.4984905,1.1809475083091496,0.43563995,1.4032857736875846
27,0.4975812,1.1746479045463252,0.49360964,1.2436980078386706
28,0.5037282,1.1666950490862946,0.48228958,1.259206403133481
29,0.5074746,1.157951119753176,0.49324447,1.2110356064729912
30,0.5020187,1.1584411605423492,0.45252874,1.2985998419828193
31,0.50714725,1.1568816438210525,0.4739821,1.2559161962464798
32,0.5089659,1.1497356501610052,0.4350922,1.33689139887344
33,0.5107118,1.1412759159389434,0.48247215,1.2453538844751757
34,0.5147492,1.13629877258569,0.4888625,1.208787441253662
35,0.5169316,1.1341308596282216,0.46257076,1.3265830015027247
36,0.51889575,1.1289217849090483,0.48338506,1.2434516327325689
37,0.5201688,1.128644447581963,0.49443126,1.2294676927633064
38,0.5207871,1.1216409931150602,0.49433997,1.222067073334095
39,0.5202779,1.122251135856428,0.46960014,1.2438234783882318
40,0.52384245,1.1142093155047852,0.46731788,1.2515807027040526
41,0.524097,1.111425293500897,0.4951616,1.1933829326962315
42,0.5252246,1.1066757477162747,0.4918751,1.2109439470047174
43,0.5302077,1.1027534177780012,0.4840241,1.2667189469171125
44,0.5329357,1.1025722264913995,0.5057513,1.1961685141851737
45,0.52700686,1.1038674016883903,0.46594852,1.3121307755625524
46,0.5305714,1.094240063188882,0.47653824,1.2939874931823376
47,0.53428143,1.0909785022863248,0.49077964,1.2286809627399888
48,0.53540903,1.0878443394361836,0.494979,1.2374146677726923
49,0.5352999,1.083060365125932,0.49388352,1.2244136222573214
50,0.5370458,1.07980945672872,0.47927698,1.2580759095591167
51,0.54115593,1.077751323572612,0.47124338,1.388743912064752
52,0.551595,1.0539910529112757,0.50045645,1.184495637583178
53,0.55483216,1.0434426554716745,0.50766844,1.217071763304777
54,0.55803293,1.034004863332749,0.48365894,1.2170112604318664
55,0.5581057,1.0346566808512934,0.51442397,1.1777222503063292
56,0.5555596,1.0337348916074203,0.4918751,1.204824379710264
57,0.5631979,1.0242558443389767,0.5119591,1.1774160751076632
58,0.55988795,1.023230429271151,0.5123243,1.169600507547689
59,0.5647983,1.0145211001557375,0.4960745,1.2493096957373064
60,0.565744,1.0179383808236304,0.51524556,1.1814429642156112
61,0.56174296,1.0114887196565079,0.5027387,1.214204770187999
62,0.56145203,1.0149125034333109,0.48028117,1.33848957128303
63,0.5698905,1.0074525892992519,0.49251416,1.2312022045601245
64,0.5695995,1.0050545556233152,0.49963483,1.2766579652941503
65,0.56919944,1.0038764403801463,0.47845536,1.267846057581347
66,0.57334596,0.9992421177862444,0.50556874,1.1788704991340637
67,0.57320046,0.9971869266363141,0.51259816,1.1993483817854593
68,0.57414615,0.9969638982657039,0.5145152,1.1757934703383335
69,0.5817844,0.9745927908688267,0.51825815,1.174318968556648
70,0.58462155,0.9692351091221543,0.51442397,1.177760153315788
71,0.5846579,0.9659520323953887,0.51077235,1.2198268833548525
72,0.58742225,0.9655134018166547,0.5147891,1.1885397212449895
73,0.58691305,0.9612911537284742,0.5117765,1.1959599554538727
74,0.5889863,0.9589782704138198,0.5142414,1.1990037782247676
75,0.5879679,0.9602774115494693,0.512872,1.1945081179918244
76,0.58771324,0.9551701514539586,0.5119591,1.1869302482105966
77,0.5904412,0.9514797274336976,0.5171627,1.1923666970674383
78,0.59131414,0.9503495915512838,0.51524556,1.1773124905519707
79,0.5971702,0.9429200624138766,0.515702,1.192902797183325
80,0.5946241,0.9426342079834814,0.5151543,1.2109649437804555
81,0.600371,0.9292537278729771,0.5184407,1.1900791255540626
82,0.59680647,0.9380052407497327,0.51981014,1.2041443011095359
83,0.59724295,0.9327958474721011,0.51771045,1.1847354000390962
84,0.59869784,0.9346483805317221,0.5189885,1.1946297100810117
85,0.6000073,0.9328940703614517,0.51405877,1.1943221923916838
86,0.6035355,0.9289996426380314,0.51551944,1.2022484159746836
87,0.60040736,0.928393985418808,0.5118678,1.193474955336992
88,0.6027352,0.927998062761536,0.5147891,1.2031966364660929
