category,precision,recall,f1-score,support,accuracy
Black,0.5582745748652012,0.8650385604113111,0.6785984371061256,1556.0,0.8650385604113111
East Asian,0.7338530066815144,0.42516129032258065,0.5383986928104575,1550.0,0.42516129032258065
Indian,0.0,0.0,0.0,1516.0,0.0
Latino_Hispanic,0.28537656197230665,0.5206407886629698,0.368673647469459,1623.0,0.5206407886629698
Middle Eastern,0.0,0.0,0.0,1209.0,0.0
Southeast Asian,0.5910652920962199,0.2431095406360424,0.34451677516274415,1415.0,0.2431095406360424
White,0.43612871769868355,0.8580335731414868,0.5783093583319865,2085.0,0.8580335731414868
