epoch,accuracy,loss,val_accuracy,val_loss
0,0.16926819,2.0887653135037407,0.18997626,1.9393663531125978
1,0.24560776,1.858457073617397,0.20239182,1.9776158041732257
2,0.2634995,1.8128151033765263,0.25762278,1.8885607788729113
3,0.27259523,1.7778334623661514,0.23680848,1.8574109839838604
4,0.2760191,1.764518840522066,0.24502465,1.8332864711450976
5,0.2832703,1.751907048713102,0.2683951,1.787923933461655
6,0.23250023,1.8590680296698323,0.21882418,1.8979570574538653
7,0.24761367,1.8396393431845839,0.21152091,1.9266582242278165
8,0.2735175,1.7831649005847323,0.19152822,2.136338246423145
9,0.29642397,1.7324380805370807,0.26200473,1.822901770125988
10,0.31270173,1.7106488979160703,0.28373197,1.7938458614571149
11,0.32122105,1.6949096725159198,0.21937191,1.880438438681669
12,0.3327377,1.6711583791772542,0.24858499,1.8916815186655798
13,0.33710688,1.6648606392528742,0.25524923,1.8802849151367365
14,0.34122244,1.656692857794202,0.27505934,1.8083129358846088
15,0.3432053,1.6563380694000152,0.26090926,1.860754514849463
