epoch,accuracy,loss,val_accuracy,val_loss
0,0.25544572,2.077561391582438,0.30395508,1.742371542006731
1,0.36967996,1.574372403423524,0.3987793,1.4693669833242893
2,0.42026222,1.4104168530124122,0.43256837,1.3642339818179607
3,0.45132372,1.3146951307240504,0.48168945,1.2238405101001262
4,0.46973443,1.261586618806977,0.5109375,1.1498787611722947
5,0.4891086,1.2163785772732691,0.5136719,1.1447094187140465
6,0.50180125,1.1769246713086043,0.5422363,1.084506207704544
7,0.5165047,1.139969353222016,0.5439453,1.0696558870375157
8,0.5295535,1.107245237354299,0.58256835,0.9912869337946176
9,0.54344,1.0717130370498023,0.5787109,0.9885530300438404
10,0.5535146,1.0451922025181972,0.6063965,0.92924814671278
11,0.5723232,1.006615283182415,0.61586916,0.9092504918575287
12,0.5858747,0.9755181735706073,0.6214844,0.8890333879739046
13,0.5933102,0.9524210913571212,0.6466309,0.8658670142292977
14,0.6080555,0.9252554227775287,0.6333984,0.8705059260129928
15,0.6200151,0.8927691927224637,0.6383789,0.8495494689792394
16,0.63052946,0.8723251722133831,0.63486326,0.8696384388953448
17,0.63796496,0.8550718893314494,0.69697267,0.7169918660074472
18,0.65312916,0.823583256623061,0.7054688,0.7230729423463345
19,0.66917306,0.7904902209225673,0.7013184,0.7250669982284308
20,0.6756032,0.77457559907724,0.6811035,0.7623627495020628
21,0.6916052,0.7453672635011954,0.7156738,0.6874857638031244
22,0.7028527,0.7206808152850768,0.7871094,0.5490887939929963
23,0.7174933,0.6859605850866589,0.7145996,0.6871746454387904
24,0.71720004,0.6926772580070086,0.71850586,0.6757429346442223
25,0.7294529,0.6552273638286795,0.7887207,0.5378288380801678
26,0.7368046,0.6452254756845673,0.78291017,0.5498820135369897
27,0.7529323,0.6072673894285197,0.83374023,0.44324918184429407
28,0.7441354,0.630048543614293,0.7962891,0.514750424772501
29,0.76076573,0.5942771544245549,0.84155273,0.41979055739939214
30,0.76996064,0.57201780183066,0.8263672,0.4502705654129386
31,0.76828504,0.5753560893976657,0.83256835,0.4299783051013947
32,0.7791346,0.5457755651614621,0.84384763,0.41122224237769844
33,0.7886645,0.5291183122680909,0.83139646,0.4253702304325998
34,0.79913706,0.5082726938794829,0.8917481,0.30898984977975485
35,0.8057557,0.49395293101228915,0.854541,0.3783340729773045
36,0.80328417,0.5008754687878146,0.84882814,0.40203338731080296
37,0.8054206,0.492042769535617,0.8785156,0.3288329464383423
38,0.821255,0.45692875565856134,0.9026367,0.273252456728369
