epoch,accuracy,loss,val_accuracy,val_loss
0,0.2030706,2.0900908681177497,0.1640625,2.0892828702926636
1,0.29826775,1.7989024374644405,0.26420453,1.9729997596957467
2,0.3473842,1.6698400957670716,0.34801137,1.7552473680539564
3,0.36978805,1.6004801274674185,0.34232953,1.755795348774303
4,0.3839985,1.55007600908824,0.37926137,1.6047183789990165
5,0.39573902,1.5099189429230013,0.39417613,1.5527012104337865
6,0.40121213,1.4854986881811307,0.4005682,1.5261186252940784
7,0.40798005,1.459614870608019,0.43359375,1.4305204396898097
8,0.41330084,1.4395010171660474,0.43430397,1.4141827632080426
9,0.41822988,1.4230555452012086,0.44424716,1.4287417531013489
10,0.42222318,1.4086138612712658,0.42862216,1.3835205110636624
11,0.42689112,1.3978178028774793,0.4708807,1.3150650642134927
12,0.43148285,1.3844848036932083,0.47265625,1.3090899884700775
13,0.43529117,1.3723652316335184,0.45987216,1.2827857109633358
14,0.43844664,1.3626942002009548,0.4609375,1.2812893634492701
15,0.44369125,1.3485563712033721,0.46555397,1.2593351006507874
16,0.44780424,1.340409718184086,0.47727272,1.260668245228854
17,0.4489685,1.3313127502093407,0.49147728,1.2121914814818988
18,0.45169958,1.324815071558886,0.48046875,1.2142446799711748
19,0.45616078,1.3131924596171525,0.4786932,1.2303079447963021
20,0.45771673,1.3056721464837162,0.49147728,1.1981019567359577
21,0.46240643,1.2940257879850925,0.51633525,1.2137717645276676
22,0.46695465,1.2891248472055685,0.5053267,1.1909639130939136
23,0.4696749,1.281894351861603,0.5202415,1.1558573923327706
24,0.47207958,1.27533738402271,0.5152699,1.1579109592871233
25,0.47373345,1.2705869898822646,0.5081676,1.1730339256199924
26,0.47437543,1.2612021111761296,0.50710225,1.1848007142543793
27,0.47943506,1.256370695686606,0.5042614,1.1666833487423984
28,0.48131746,1.2487745347295298,0.52272725,1.1294580698013306
29,0.48458174,1.2401005820809632,0.5426136,1.1190568940206007
30,0.48649678,1.2366689121490733,0.54865056,1.1027152064171704
31,0.4897393,1.2315606954287022,0.5443892,1.1185087263584137
32,0.48884705,1.2284989278130545,0.54083806,1.1075958826325156
33,0.49159992,1.223400067195587,0.55539775,1.0686767060648312
34,0.49325383,1.216046298695806,0.5458097,1.0902976176955483
35,0.5003373,1.2067815526531267,0.54971594,1.0997303250161083
36,0.5006855,1.2069757858441732,0.56072444,1.0544568923386661
37,0.5014254,1.202057094627104,0.559304,1.0585049323060296
38,0.50243735,1.195549477026655,0.5514915,1.0720536708831787
39,0.5042653,1.1934553157735335,0.55646306,1.0492560213262385
40,0.50817156,1.1876660343000152,0.5635653,1.062988829883662
41,0.5086939,1.18391691791646,0.5681818,1.0299992195584557
42,0.5113053,1.180858302871829,0.574929,1.030900395729325
43,0.5115773,1.1768828447399697,0.57883525,1.0095440962097861
44,0.5119473,1.1723477984869382,0.57954544,1.0178425704891032
45,0.51491773,1.1701698756898677,0.58984375,0.99175102873282
46,0.5165934,1.1652185358210858,0.5745739,1.0092177905819633
47,0.5178121,1.165138613422269,0.574929,1.0057151276956906
48,0.5203473,1.1560148805545898,0.5933949,0.9995410144329071
49,0.52184886,1.1563426281084257,0.5948153,0.9787725616585125
50,0.5201297,1.1531489683642029,0.5941051,0.9810321317477659
51,0.5247976,1.1474821549687213,0.5894886,1.0028416108001361
52,0.523666,1.1450175706473567,0.5894886,1.0135329257358203
53,0.5259401,1.140303595359943,0.6139915,0.9548070417209105
54,0.5268976,1.140458458022819,0.6168324,0.9654054858467795
55,0.5277355,1.1372046920582444,0.5958807,0.9956536807797172
56,0.53064066,1.1297083245512503,0.5973011,0.9612843340093439
57,0.5305645,1.1297515094861346,0.5823864,1.0056749460372059
58,0.53064066,1.1272475292755701,0.61434656,0.9389757933941755
59,0.5314785,1.1249610000085033,0.6036932,0.9867853630672802
60,0.5350039,1.1192058413224633,0.60759944,0.9362074502489783
61,0.5375827,1.1150971074539306,0.63458806,0.9230759834701364
62,0.5380832,1.1114478071419973,0.6352983,0.9266343523155559
63,0.5350039,1.1138003195809787,0.59765625,0.9848261881958355
64,0.5394433,1.1094334550554705,0.606179,0.9629833942109888
65,0.5400853,1.1089174699318443,0.6083097,0.9472885538231243
66,0.540934,1.1062297392273348,0.6331676,0.9187109863216226
67,0.54166305,1.1002815259947418,0.64133525,0.8933404562148181
68,0.5431973,1.1013311319115435,0.6441761,0.8870442035523328
69,0.5428599,1.099402764921069,0.6317472,0.9236298122189261
70,0.5446009,1.0967734728766019,0.6129261,0.9249409545551647
71,0.5472885,1.09434096125009,0.6306818,0.889823931184682
72,0.5464833,1.0900956228749001,0.6253551,0.92239018461921
73,0.54757136,1.0881767056280525,0.6441761,0.8835171583023939
74,0.5483439,1.0872185442773081,0.66583806,0.869259468533776
75,0.5494973,1.0825890634302309,0.64204544,0.871025334705006
76,0.5506398,1.0825333051528772,0.6473722,0.8794376728209582
77,0.55001956,1.0823926520131757,0.64240056,0.8812350861050866
78,0.5544699,1.0761957674139389,0.64985794,0.8600509830496528
79,0.55309886,1.0769150418574431,0.6441761,0.8643246604637667
80,0.5525004,1.0761082310198409,0.62890625,0.890438124537468
81,0.5541326,1.0723834414252995,0.64985794,0.8868849683891643
82,0.55686367,1.0684652901708582,0.66477275,0.8477619073607705
83,0.554916,1.0717623416842856,0.6495028,0.8707506155425851
84,0.5541108,1.069087903106113,0.66228694,0.8720550035888498
85,0.556374,1.0657966603060618,0.6754261,0.8331607932394202
86,0.5578647,1.0622539346347613,0.65909094,0.8650357818061655
87,0.56024766,1.059154731234468,0.67578125,0.8276451094584032
88,0.5593228,1.0621038007453956,0.6953125,0.8002934564243663
89,0.5615316,1.0583198278063186,0.68465906,0.8118202835321426
90,0.5622933,1.0555957873302582,0.67365056,0.8489718084985559
91,0.5608135,1.0558459564088778,0.6764915,0.8301876932382584
92,0.56058496,1.0551920015167726,0.6885653,0.8181603537364439
93,0.5622933,1.0537315579260955,0.70454544,0.7933315986936743
94,0.56331605,1.050379560144831,0.6963778,0.8057441535321149
95,0.5653399,1.0476034789198287,0.6651278,0.8487320108847185
96,0.56496996,1.0503468807776326,0.68359375,0.8208748169920661
97,0.56446946,1.0438890459228691,0.6850142,0.788440085270188
98,0.56776637,1.0425707275737959,0.6754261,0.8107751743359999
99,0.5671353,1.0433419925422722,0.6985085,0.7885825552723624
