epoch,accuracy,loss,val_accuracy,val_loss
0,0.29998484,1.8750542168864155,0.41440716,1.4213334918022156
1,0.4265018,1.3921519317287459,0.4586397,1.286278815830455
2,0.46149373,1.2834892172643668,0.4921875,1.2030680600334616
3,0.48598048,1.2196501497311885,0.5175781,1.1332586092107437
4,0.5043993,1.1764468608550656,0.5147059,1.1254542978370892
5,0.5142597,1.1438788368478177,0.549977,1.0609322330530953
6,0.52812755,1.1083630064930345,0.5859375,0.9889822970418369
7,0.5395302,1.0792519460796923,0.5997243,0.9431025079068016
