category,precision,recall,f1-score,support,accuracy
Black,0.8065716057036578,0.8361182519280206,0.8210792047964658,1556.0,0.8361182519280206
East Asian,0.6998050682261209,0.6948387096774193,0.6973130462932988,1550.0,0.6948387096774193
Indian,0.7146912704045423,0.6642480211081794,0.6885470085470086,1516.0,0.6642480211081794
Latino_Hispanic,0.48043254376931,0.5748613678373382,0.523422159887798,1623.0,0.5748613678373382
Middle Eastern,0.6043737574552683,0.5028949545078577,0.5489841986455981,1209.0,0.5028949545078577
Southeast Asian,0.6092526690391459,0.6049469964664311,0.6070921985815602,1415.0,0.6049469964664311
White,0.7024509803921568,0.6872901678657074,0.6947878787878788,2085.0,0.6872901678657074
