category,precision,recall,f1-score,support,accuracy
0-2,0.7150837988826816,0.6432160804020101,0.6772486772486773,199.0,0.6432160804020101
10-19,0.4143884892086331,0.2438611346316681,0.3070362473347548,1181.0,0.2438611346316681
20-29,0.5646563076112721,0.6496969696969697,0.6041989573059039,3300.0,0.6496969696969697
3-9,0.7143840330350998,0.7654867256637168,0.7390530437878248,1356.0,0.7654867256637168
30-39,0.4148271553519367,0.4274678111587983,0.4210526315789474,2330.0,0.4274678111587983
40-49,0.40463724756918473,0.3998521803399852,0.40223048327137545,1353.0,0.3998521803399852
50-59,0.4380841121495327,0.47110552763819097,0.45399515738498786,796.0,0.47110552763819097
60-69,0.41333333333333333,0.2897196261682243,0.34065934065934067,321.0,0.2897196261682243
more than 70,0.8181818181818182,0.07627118644067797,0.13953488372093023,118.0,0.07627118644067797
